"accuracy","kappa","misclassification","recall.TRUE","recall.FALSE","precision.TRUE","precision.FALSE","prevalence.TRUE","prevalence.FALSE","detection_prevalence.TRUE","detection_prevalence.FALSE","f1.TRUE","f1.FALSE","TP","FP","FN","TN","classifier","method","cv.iteration","cv.fold","sampling","knn.k","info","preprocess"
0.876207597608626,0.625365816594698,0.123792402391374,0.868950583769536,0.915509416068283,0.982337013624443,0.563708640726886,0.844051589231538,0.155948410768462,0.746626170790695,0.253373829209305,0.922161184479874,0.69771770682148,570.25,10.25,86,111,"knn","cv",1,4,"under",1,"","normalize"
0.891641687592844,0.668562487220973,0.108358312407156,0.881148025949438,0.948550331933342,0.989385926711539,0.596616724870968,0.844051589231538,0.155948410768462,0.751765904722203,0.248234095277797,0.932073124973418,0.732032641668803,578.25,6.25,78,115,"knn","cv",1,4,"under",3,"","normalize"
0.901287993832981,0.690049575980128,0.098712006167019,0.894096062107881,0.940218127624983,0.987798253358851,0.621541727275835,0.844051589231538,0.155948410768462,0.763989522022941,0.236010477977059,0.938602773767481,0.748272636395198,586.75,7.25,69.5,114,"knn","cv",1,4,"under",5,"","normalize"
0.890677677310068,0.667094140832408,0.109322322689932,0.879239637858707,0.952580951090638,0.990128977525541,0.593213487797991,0.844051589231538,0.155948410768462,0.749519855882324,0.250480144117676,0.931390856741697,0.731096272483275,577,5.75,79.25,115.5,"knn","cv",1,4,"under",7,"","normalize"
0.889063549410593,0.662178320353642,0.110936450589407,0.878850999554516,0.944316488280721,0.9884704915792,0.591853137153546,0.844051589231538,0.155948410768462,0.750478076313552,0.249521923686448,0.930351406775159,0.727071846093662,576.75,6.75,79.5,114.5,"knn","cv",1,4,"under",9,"","normalize"
0.891953926015623,0.67017679470044,0.108046073984377,0.881906160671196,0.946331797859369,0.988877988415982,0.599851972829807,0.844051589231538,0.155948410768462,0.752724125153431,0.247275874846569,0.932217301851107,0.733395150946886,578.75,6.5,77.5,114.75,"knn","cv",1,4,"under",11,"","normalize"
0.895181354692923,0.677550669425888,0.104818645307077,0.884956101273342,0.950464029264327,0.989800894264588,0.604977253299009,0.844051589231538,0.155948410768462,0.754668688151979,0.245331311848021,0.934404526536164,0.739057775074956,580.75,6,75.5,115.25,"knn","cv",1,4,"under",13,"","normalize"
0.888106983222664,0.655673769706666,0.111893016777336,0.880766928388462,0.927736756537055,0.985123559626214,0.590445580414801,0.844051589231538,0.155948410768462,0.754668688151979,0.245331311848021,0.92998483644598,0.721334422627057,578,8.75,78.25,112.5,"knn","cv",1,4,"under",15,"","normalize"
0.892287669601294,0.663925370079092,0.107712330398706,0.887244426810706,0.9195739059748,0.983521366814394,0.601880285240042,0.844051589231538,0.155948410768462,0.761419241496362,0.238580758503638,0.93287783690926,0.727350666405566,582.25,9.75,74,111.5,"knn","cv",1,4,"under",17,"","normalize"
0.894536613366948,0.668464753461541,0.105463386633052,0.89029088706983,0.917626337894594,0.983295157227586,0.607791728963131,0.844051589231538,0.155948410768462,0.764310031662217,0.235689968337783,0.934410132160248,0.730639843866715,584.25,10,72,111.25,"knn","cv",1,4,"under",19,"","normalize"
